GELDER VAN Yuri
Yibing CHEN CHN
Jordan JOVTCHEV BUL
Wei YANG CHN
Hiroyuki TOMITA JPN
Alexander SAFOSHKIN RUS
Regulo CARMONA VEN
Kai TAN Wen
Andrea COPPOLINO ITA
Se RI Gwang
Timur KURBANBAYEV KAZ
Matteo ANGIOLETTI ITA
Roman ZOZULYA UKR
G. STANESCU ROU
Matteo MORANDI ITA
Maxim DEVIATOVSKI RUS
P. SELLATHURAI AUS
Manuel CARBALLO ESP
Thomas ANDERGASSEN GER
Jian ZHONG HKG
Jonathan HORTON USA
David KIKUCHI CAN
Xu HUANG CHN
PEREZ BOTELLA Isaac
MIGUEL SAN Ivan
Robert JUCKEL GER
Takuya NAKASE JPN
Dzmitry SAVITSKI BLR
Dorin SELARIU Razvan
Sean GOLDEN USA
Pierre­Yves BENY FRA
Fuliang LIANG CHN
Alin JIVAN Sandu
Irodotos GEORGALLAS CYP
Stepanyan VAHAG ARM
Dimitri KASPIAROVICH BLR
Yury RYAZANOV RUS
Grant GOLDING CAN
Hisashi MIZUTORI JPN
Luis VARGAS PUR
Mark RAMSEIER SUI
Philipp BOY GER
Ilie POPESCU Daniel
Danilo NOGUEIRA BRA
Tommy RAMOS PUR
Rafael MARTINEZ ESP
Won YOO Chul
Anton GOLOTSUTSKOV RUS
Samuel OFFORD AUS
Sergei KHOROKHORDIN RUS
N. BOESCHENSTEIN SUI
Jeffrey WAMMES NED
Uladzimir YERMAKOV BLR
