Ilie POPESCU Daniel
Leszek BLANIK POL
Andriy ISAYEV UKR
Wei YANG CHN
Flavius KOCZI ROU
Dorin SELARIU Razvan
Fabian HAMBUECHEN GER
Dimitri KASPIAROVICH BLR
Maxim DEVIATOVSKI RUS
Se RI Gwang
N. BOESCHENSTEIN SUI
Makoto OKIGUCHI JPN
Vadym KUVAKIN UKR
Brandon ONEILL CAN
Dimitri KARBANENKO FRA
Gervasio DEFERR ESP
Rafael MARTINEZ ESP
Hisashi MIZUTORI JPN
Sergio MUNOZ ESP
Fuliang LIANG CHN
Tae­Young YANG KOR
Eugen SPIRIDONOV GER
SILVA DA Gaël
Yibing CHEN CHN
Danny LAWRENCE GBR
Benoit CARANOBE FRA
Nathan GAFUIK CAN
Claudio CAPELLI SUI
Nikolai KRYUKOV RUS
Sean GOLDEN USA
Stanislav VALIYEV KAZ
PEREZ BOTELLA Isaac
Robert JUCKEL GER
Jeffrey WAMMES NED
Matteo ANGIOLETTI ITA
Alexander ARTEMEV USA
Luis ARAUJO POR
Matteo MORANDI ITA
Tomas GONZALEZ CHI
Hiroyuki TOMITA JPN
Philipp BOY GER
Alen DIMIC SLO
GELDER VAN Yuri
Jordan JOVTCHEV BUL
Jong RI Song
Marcell HETROVICS HUN
Evgeni BOGONOSYUK UKR
Michail DOULKERIDIS GRE
Mohamed SEROUR EGY
Daniel KEATINGS GBR
Luis RIVERA PUR
Diego HYPOLITO BRA
Filip UDE CRO
