Eleftherios KOSMIDIS GRE
Alexander SHATILOV ISR
Daniel PURVIS GBR
Steven LEGENDRE USA
Eddie PENEV BUL
Flavius KOCZI ROU
Thomas BOUHAIL FRA
Kohei UCHIMURA JPN
SEPULVEDA GONZALEZ CHI
PEREZ BOTELLA Isaac
Thomas PICHLER AUS
Theo SEAGER GBR
Samuel HUNTER GBR
Philipp BOY GER
SILVA DA Gael
Jonathan HORTON USA
Jeffrey WAMMES NED
Wajdi BOUALLEGUE TUN
Fabian GONZALEZ ESP
Maxim DEVYATOVSKIY RUS
FUERTES GOMEZ Javier
Thomas TARANU GER
Bo LU CHN
Ruslan PANTELEYMONOV GBR
David BELYAVSKIY RUS
VIANA LOPEZ Santiago
Kristian THOMAS GBR
Tatsuki NAKASHIMA JPN
Luis RIVERA PUR
O. YAKUBOVS'KYI UKR
Won YOO Chul
Sergey KHOROKHORDIN RUS
Andrey CHERKASOV RUS
Soo KIM Myun
Evgenij SPIRIDONOV GER
Mykola KUKSENKOV UKR
JUNIOR SASAKI Sergio
Jihoon KIM KOR
SICHACA LUGO D.
Cristian BATAGA Ioan
Sergio MUNOZ ESP
R. MORALES­CASADO PUR
Oleg STEPKO UKR
Alexander RODRIGUEZ PUR
Marian DRAGULESCU ROU
Oleksandr SUPRUN UKR
A. DZIAMCHYKHIN BLR
Aleksandar BATINKOV BUL
Bart DEURLOO NED
Mans STENBERG SWE
Dzmitry SAVITSKI BLR
Haibin TENG CHN
Stepan GORBACHEV KAZ
Casey SANDY CAN
Adrian BUCUR ROU
Kenya KOBAYASHI JPN
Pablo BRAEGGER SUI
Mikhail KOUDINOV NZL
Hamilton SABOT FRA
Matteo ANGIOLETTI ITA
Enrico POZZO ITA
