Yang LIU CHN
ZANETTI NABARRETE Arthur
Brandon WYNN USA
Aleksandr BALANDIN RUS
GELDER van Lambertus
SAID AIT Samir
RODRIGUES PINHEIRO Danny
Koji YAMAMURO JPN
Eleftherios PETROUNIAS GRE
Matteo MORANDI ITA
Federico MOLINARI ARG
Dennis GOOSSENS BEL
Alexander NADDOUR USA
Tommy RAMOS PUR
Ibrahim COLAK TUR
Andrei MUNTEAN Vasile
Kohei UCHIMURA JPN
Fabian HAMBUECHEN GER
Oleg VERNIAIEV UKR
Kiu NG Chung
Denis ABLIAZIN RUS
Ryohei KATO JPN
Samuel MIKULAK USA
de RAFFO la
Jin KIM Hyok
Nestor ABAD ESP
Nam DANG VIE
Markku VAHTILA FIN
Kevin LYTWYN CAN
JUNIOR SASAKI Sergio
Ali ZAHRAN Ramadan
Daniel PURVIS GBR
SIMOES PALMA Gustavo
David BELYAVSKIY RUS
