Eleftherios PETROUNIAS GRE
Yang LIU CHN
Brandon WYNN USA
Davtyan VAHAGN ARM
SAID AIT Samir
GELDER van Lambertus
Hao YOU CHN
Donnell WHITTENBURG USA
Arthur ZANETTI BRA
Denis ABLIAZIN RUS
Igor RADIVILOV UKR
Oleg VERNIAIEV UKR
Ibrahim COLAK TUR
Chih-Yu CHEN TPE
Nikita IGNATYEV RUS
Nile WILSON GBR
Andrei MUNTEAN Vasile
Manrique LARDUET CUB
Daniel PURVIS GBR
Federico MOLINARI ARG
Kohei UCHIMURA JPN
Yusuke TANAKA JPN
Andreas BRETSCHNEIDER GER
SIMOES PALMA Gustavo
Cristian BATAGA Ioan
Alexander NADDOUR USA
CANTOR BOHORQUEZ Kristopher
SANTANA ZAPATA Rayderley
Andreas TOBA GER
Vinzenz HOECK AUT
Artur DAVTYAN ARM
Kevin LYTWYN CAN
Wonchul YOO KOR
Shudi DENG CHN
Nestor ABAD ESP
Philipp HERDER GER
Scott MORGAN CAN
Andrea CINGOLANI ITA
Tommy RAMOS PUR
Nikita NAGORNYY RUS
Christopher BROOKS USA
Marcel NGUYEN GER
Nikolai KUKSENKOV RUS
Max WHITLOCK GBR
Rokas GUSCINAS LTU
Danell LEYVA USA
SOUZA de BITENCOURT
Minsoo PARK KOR
Fabian HAMBUECHEN GER
SOUZA CAMPOS Caio
Paolo PRINCIPI ITA
Christian BAUMANN SUI
Axel AUGIS FRA
Ruoteng XIAO CHN
Ryohei KATO JPN
Casimir SCHMIDT NED
Alexis TORRES PUR
Brinn BEVAN GBR
Phuoc PHAM Hung
