rank bib last_name first_name country diff exec total qual
1 142 HAMBUECHEN Fabian GER 7.300 8.233 15.533 Q
2 139 WILSON Nile GBR 7.000 8.500 15.500 Q
3 168 ZONDERLAND Epke NED 7.200 8.166 15.366 Q
4 194 LEYVA Danell USA 7.300 8.033 15.333 Q
5 109 BARRETTO JUNIOR Francisco BRA 6.800 8.466 15.266 Q
6 195 MIKULAK Samuel USA 6.400 8.733 15.133 Q
7 191 VERNIAIEV Oleg UKR 6.500 8.633 15.133 Q
8 123 LARDUET Manrique CUB 7.000 8.116 15.116 Q
9 181 BRAEGGER Pablo SUI 7.000 8.100 15.100 R1
10 164 DEURLOO Bart NED 7.200 7.900 15.100 R2
11 151 KATO Ryohei JPN 6.900 8.100 15.000 R3
12 121 CALVO MORENO Jossimar Orlando COL 7.200 7.766 14.966
13 137 THOMAS Kristian GBR 6.500 8.400 14.900
14 117 LIN Chaopan CHN 7.000 7.866 14.866
14 124 LERU Randy CUB 7.000 7.866 14.866
16 112 SASAKI Sergio BRA 6.900 7.933 14.833
17 158 PARK Minsoo KOR 6.300 8.500 14.800
