rank bib last_name first_name country diff exec total qual
1 191 VERNIAIEV Oleg UKR 7.100 9.066 16.166 Q
2 176 BELYAVSKIY David RUS 6.900 9.033 15.933 Q
3 116 DENG Shudi CHN 7.200 8.600 15.800 Q
4 123 LARDUET Manrique CUB 7.100 8.666 15.766 Q
5 119 YOU Hao CHN 7.400 8.333 15.733 Q
6 117 LIN Chaopan CHN 7.000 8.700 15.700
7 194 LEYVA Danell USA 6.900 8.700 15.600 Q
8 151 KATO Ryohei JPN 6.600 8.900 15.500 Q
9 173 MUNTEAN Andrei Vasile ROU 6.600 8.866 15.466 Q
10 154 UCHIMURA Kohei JPN 6.800 8.666 15.466 R1
11 143 NGUYEN Marcel GER 6.900 8.566 15.466 R2
12 197 FOKIN Anton UZB 7.000 8.466 15.466 R3
13 121 CALVO MORENO Jossimar Orlando COL 6.800 8.600 15.400
14 195 MIKULAK Samuel USA 6.700 8.675 15.375
15 178 KUKSENKOV Nikolai RUS 6.600 8.766 15.366
16 192 BROOKS Christopher USA 6.500 8.800 15.300
