rank bib last_name first_name country diff exec total qual
1 138 WHITLOCK Max GBR 7.100 8.700 15.800 Q
2 136 SMITH Louis GBR 6.900 8.800 15.700 Q
3 134 TOMMASONE Cyril FRA 6.900 8.750 15.650 Q
4 104 MERDINYAN Harutyun ARM 6.700 8.883 15.583 Q
5 191 VERNIAIEV Oleg UKR 7.000 8.566 15.566 Q
6 178 KUKSENKOV Nikolai RUS 6.700 8.683 15.383 Q
7 196 NADDOUR Alexander USA 6.600 8.766 15.366 Q
8 176 BELYAVSKIY David RUS 6.600 8.700 15.300 Q
9 147 HIDVEGI Vid HUN 6.400 8.833 15.233 R1
10 108 LIKHOVITSKIY Andrey BLR 6.600 8.633 15.233 R2
11 117 LIN Chaopan CHN 6.300 8.733 15.033 R3
12 121 CALVO MORENO Jossimar Orlando COL 6.700 8.333 15.033
13 106 STEPKO Oleg AZE 6.700 8.275 14.975
14 154 UCHIMURA Kohei JPN 6.200 8.766 14.966
15 119 YOU Hao CHN 6.400 8.566 14.966
16 116 DENG Shudi CHN 6.300 8.566 14.866
