rank bib last_name first_name country diff exec total
1 274 YANG Hakseon KOR 6.000 9.300 15.300
2 331 DALALOYAN Artur RUS 5.600 9.533 15.133
3 225 SHEK Wai Hung HKG 6.000 8.966 14.966
4 332 NAGORNYY Nikita RUS 5.600 9.300 14.900
4 388 LE Thanh Tung VIE 5.600 9.300 14.900
6 222 VEGA LOPEZ Jorge GUA 5.600 9.266 14.866
7 371 RADIVILOV Igor UKR 5.600 9.233 14.833
8 156 XIAO Ruoteng CHN 5.600 9.166 14.766
8 203 CUNNINGHAM Dominick GBR 5.600 9.166 14.766
8 257 HASHIMOTO Daiki JPN 5.600 9.166 14.766
11 373 VERNIAIEV Oleg UKR 5.600 9.133 14.733
12 245 BARTOLINI Nicola ITA 5.200 9.500 14.700
13 155 SUN Wei CHN 5.600 9.200 -0.1 14.700
14 114 BACUETI James AUS 6.000 8.666 14.666
15 166 LARDUET Manrique CUB 5.200 9.433 14.633
16 325 DRAGULESCU Marian ROU 5.600 9.016 14.616
17 139 MARIANO Arthur BRA 5.200 9.375 14.575
18 358 TANG Chia-Hung TPE 5.200 9.366 14.566
18 379 MIKULAK Samuel USA 5.200 9.366 14.566
20 270 KIM Hansol KOR 5.600 9.066 -0.1 14.566
21 242 DOLGOPYAT Artem ISR 5.200 9.333 14.533
21 349 RUMBUTIS David SWE 5.200 9.333 14.533
21 381 MOLDAUER Yul USA 5.200 9.333 14.533
24 111 DAVTYAN Artur ARM 5.600 8.933 14.533
24 206 REGINI-MORAN Giarnni GBR 5.600 8.933 14.533
26 344 HEGI Oliver SUI 5.200 9.300 14.500
26 370 PAKHNIUK Petro UKR 5.200 9.300 14.500
28 355 LEE Chih Kai TPE 5.200 9.283 14.483
29 140 SOUZA Caio BRA 5.200 9.266 14.466
30 346 YUSOF Eddy SUI 5.600 8.866 14.466
31 189 VERA Adria ESP 5.200 9.233 14.433
32 309 YULO Carlos Edriel PHI 5.600 8.933 -0.1 14.433
33 200 FRASCA Loris FRA 5.600 8.833 14.433
34 127 KUAVITA Noah BEL 5.200 9.200 14.400
34 134 SANUVONH Dzianis BLR 5.200 9.200 14.400
36 328 MUNTEAN Andrei Vasile ROU 5.200 9.183 14.383
37 117 SWAN Gabriel AUS 5.200 9.166 14.366
37 136 YAKAULEU Ilya BLR 5.200 9.166 14.366
37 187 MIR Nicolau ESP 5.200 9.166 14.366
37 265 KARIMI Milad KAZ 5.200 9.166 14.366
37 271 LEE Junho KOR 5.200 9.166 14.366
42 329 ABLIAZIN Denis RUS 5.600 8.766 14.366
43 343 GISCHARD Benjamin SUI 5.200 9.133 14.333
44 102 BOURGUIEG Mohamed Abdeldjalil ALG 5.200 9.100 14.300
44 103 MAOUDJ Ahmed Anis ALG 5.200 9.100 14.300
44 138 DE SOUZA BITENCOURT Lucas BRA 5.200 9.100 14.300
47 152 GONZALEZ Tomas CHI 4.800 9.466 14.266
48 145 COURNOYER Rene CAN 5.200 9.066 14.266
48 150 ZAKUTNEY Samuel CAN 5.200 9.066 14.266
48 185 ABAD Nestor ESP 5.200 9.066 14.266
48 259 KAYA Kazuma JPN 5.200 9.066 14.266
48 334 STRETOVICH Ivan RUS 5.200 9.066 14.266
