Carlos YULO Edriel
Ryosuke DOI JPN
Milad KARIMI KAZ
Giarnni REGINI-MORAN GBR
Boheng ZHANG CHN
Sunghyun RYU KOR
Daiki HASHIMOTO JPN
Nicola BARTOLINI ITA
Kakeru TANIGAWA JPN
Benjamin OSBERGER FRA
Aurel BENOVIC CRO
Hansol KIM KOR
Krisztofer MESZAROS HUN
Chia-Hung TANG TPE
Wataru TANIGAWA JPN
James HALL GBR
Adem ASIL TUR
Donnell WHITTENBURG USA
Arthur MARIANO BRA
William EMARD CAN
Yuri GUIMARAES BRA
Rayderley ZAPATA ESP
Joe FRASER GBR
Jake JARMAN GBR
Botond KARDOS HUN
Asher HONG USA
Lorenzo CASALI Minh
Moreno KRATTER SUI
Dominick CUNNINGHAM IRL
Ahmet ONDER TUR
Casimir SCHMIDT NED
Omar MOHAMED EGY
den van KEYBUS
