CLENAGHAN Mc Rhys
Stephen NEDOROSCIK USA
Nariman KURBANOV KAZ
MUNCK de Loran
Harutyun MERDINYAN ARM
Ryosuke DOI JPN
Filip UDE CRO
AL ABU SOUD
Abdulla AZIMOV UZB
Kakeru TANIGAWA JPN
Zachary CLAY CAN
Nils DUNKEL GER
James HALL GBR
Boheng ZHANG CHN
Yumin ABBADINI ITA
Artem DOLGOPYAT ISR
Wataru TANIGAWA JPN
Illia KOVTUN UKR
Hao YOU CHN
Khabibullo ERGASHEV UZB
Diogo SOARES BRA
Jake JARMAN GBR
Noe SEIFERT SUI
Casimir SCHMIDT NED
Thierno DIALLO ESP
Andreas TOBA GER
Brody MALONE USA
Giarnni REGINI-MORAN GBR
Balazs KISS HUN
Mohamed AFIFY EGY
MORENO CALVO Jossimar
Asher HONG USA
Benjamin OSBERGER FRA
Carlo MACCHINI ITA
