Artem DOLGOPYAT ISR
Frederick RICHARD USA
Carlos YULO Edriel
Kazuki MINAMI JPN
Felix DOLCI CAN
Daiki HASHIMOTO JPN
Milad KARIMI KAZ
Harry HEPWORTH GBR
Rayderley ZAPATA ESP
Nicola BARTOLINI ITA
Jake JARMAN GBR
Nicolau MIR ESP
Asher HONG USA
Ahmet ONDER TUR
Yul MOLDAUER USA
Florian LANGENEGGER SUI
Noe SEIFERT SUI
Krisztofer MESZAROS HUN
Weide SU CHN
Sunghyun RYU KOR
Nestor ABAD ESP
Benjamin OSBERGER FRA
Emre DODANLI TUR
Filip LIDBECK SWE
Yuri GUIMARAES BRA
Kazuma KAYA JPN
William EMARD CAN
Pascal BRENDEL GER
Rodrigo GOMEZ MEX
Lucas DESANGES FRA
Arthur MARIANO BRA
James HALL GBR
den van KEYBUS
Paul JUDA USA
Jose NOGUEIRA POR
Abdulaziz MIRVALIEV UZB
