rank bib last_name first_name country diff exec qual
1 191 WHITLOCK Max GBR 6.800 8.466 15.266 Q
2 312 YOUNG Khoi USA 6.600 8.466 15.066 Q
3 210 Mc CLENAGHAN Rhys IRL 6.400 8.533 14.933 Q
4 226 ABU AL SOUD Ahmad JOR 6.400 8.500 14.900 Q
5 290 LEE Chih Kai TPE 6.200 8.600 14.800 Q
6 227 CHIBA Kenta JPN 6.100 8.600 14.700 Q
7 109 MERDINYAN Harutyun ARM 6.000 8.600 14.600 Q
8 194 DUNKEL Nils GER 6.200 8.400 14.600 Q
9 108 KHACHIKYAN Gagik ARM 6.500 8.100 14.600 R1
10 256 de MUNCK Loran NED 6.500 7.966 14.466 R2
11 115 SAWANT Vedant AUS 6.100 8.300 14.400 R3
12 101 PETROV Matvei ALB 6.300 8.100 14.400
13 303 KOVTUN Illia UKR 5.900 8.466 14.366
14 314 AZIMOV Abdulla UZB 6.100 8.233 14.333
15 310 RICHARD Frederick USA 5.700 8.500 14.200
16 236 KURBANOV Nariman KAZ 6.300 7.833 14.133
17 229 KAYA Kazuma JPN 6.300 7.766 14.066
18 186 HALL James GBR 5.900 8.133 14.033
19 315 ERGASHEV Khabibullo UZB 5.600 8.366 13.966
20 188 JARMAN Jake GBR 5.600 8.300 13.900
21 217 LIUBIMOV Ilia ISR 5.800 8.100 13.900
22 106 DAVTYAN Artur ARM 5.500 8.333 13.833
23 238 TOISHYBEK Diyas KAZ 6.000 7.833 13.833
24 163 SLIZ Radomir CZE 5.900 7.900 13.800
24 305 STELMAKH Radomyr UKR 5.900 7.900 13.800
26 131 SOARES Diogo BRA 5.700 8.066 13.766
27 245 MICKEVICS Dmitrijs LAT 5.100 8.600 13.700
28 136 CLAY Zachary CAN 5.700 7.966 13.666
29 140 RAMPERSAD Jayson CAN 5.400 8.233 13.633
30 179 KOSKI Elias FIN 5.100 8.500 13.600
31 316 JURAEV Utkirbek UZB 5.400 8.200 13.600
32 143 SHI Cong CHN 5.800 7.800 13.600
32 295 ARICAN Ferhat TUR 5.800 7.800 13.600
34 172 DIALLO Thierno ESP 5.900 7.700 13.600
35 204 KISS Balazs HUN 5.500 8.066 13.566
