Artur DAVTYAN ARM
Nazar CHEPURNYI UKR
Paul JUDA USA
Igor RADIVILOV UKR
Khoi YOUNG USA
Asher HONG USA
Arthur MARIANO BRA
Jaeho KIM KOR
Nicola BARTOLINI ITA
Wai SHEK Hung
Milad KARIMI KAZ
Lorenzo CASALI Minh
Adem ASIL TUR
Frederick RICHARD USA
Abdulaziz MIRVALIEV UZB
Mario MACCHIATI ITA
Andrei MUNTEAN Vasile
Felix DOLCI CAN
Sebastian SPONEVIK NOR
Harry HEPWORTH GBR
Nick KLESSING GER
Noah KUAVITA BEL
den van KEYBUS
Yuri GUIMARAES BRA
Artem DOLGOPYAT ISR
Dmitriy PATANIN KAZ
Utkirbek JURAEV UZB
Rayderley ZAPATA ESP
Ilias GEORGIOU CYP
Adam STEELE IRL
Taha SERHANI SUI
Daiki HASHIMOTO JPN
Leo SALADINO FRA
Casimir SCHMIDT NED
Luca GIUBELLINI SUI
